,0,1
0,-16,-9
1,-16,-11
2,-15,-10
3,-15,0
4,-15,5
5,-5,17
6,26,32
7,73,51
8,99,43
9,85,11
10,49,-62
11,16,-88
12,-1,-67
13,-11,-35
14,-19,-21
15,-22,-11
16,-24,-9
17,-24,-6
18,-23,-5
19,-21,-2
20,-19,-2
21,-16,-1
22,-15,0
23,-12,0
24,-9,0
25,-7,0
26,-4,1
27,-2,1
28,0,4
29,1,6
30,5,10
31,9,15
32,13,20
33,20,27
34,30,33
35,39,44
36,48,46
37,55,52
38,61,51
39,66,55
40,68,47
41,66,50
42,57,37
43,45,32
44,32,18
45,20,15
46,11,3
47,5,1
48,0,-1
49,-1,-2
50,-3,-6
51,-4,-5
52,-5,-6
53,-6,-7
54,-7,-7
55,-8,-8
56,-9,-8
57,-11,-9
58,-13,-9
59,-14,-9
60,-14,-8
61,-13,-9
62,-13,-3
63,-14,1
64,-15,-7
65,0,-30
66,38,-45
67,80,-38
68,85,-31
69,52,-42
70,16,-71
71,-3,-77
72,-10,-56
73,-13,-26
74,-16,-12
75,-19,-3
76,-21,-3
77,-22,0
78,-21,0
79,-18,0
80,-15,1
81,-14,1
82,-13,1
83,-12,2
84,-8,7
85,-1,7
86,1,13
87,2,13
88,3,23
89,8,26
90,17,36
91,25,41
92,32,52
93,38,54
94,42,61
95,41,58
96,37,57
97,33,47
98,29,40
99,22,30
100,14,22
101,7,13
102,4,8
103,1,4
104,-1,1
105,-3,1
106,-5,0
107,-6,0
108,-6,0
109,-7,0
110,-9,0
111,-10,-1
112,-10,-1
113,-10,-1
114,-10,-1
115,-11,-3
116,-10,-1
117,-6,-3
118,-3,0
119,-3,-3
120,-2,0
121,0,-4
122,1,0
123,0,-5
124,0,-4
125,0,-8
126,-3,-3
127,-7,-6
128,-11,-5
129,-14,-7
130,-16,-8
131,-17,-8
132,-17,-10
133,-16,-8
134,-18,-5
135,-19,0
136,-3,8
137,41,37
138,96,54
139,118,49
140,93,-1
141,49,-82
142,15,-110
143,-1,-85
144,-10,-62
145,-16,-47
146,-19,-42
147,-21,-39
148,-20,-37
149,-18,-34
150,-17,-32
151,-15,-31
152,-14,-29
153,-11,-29
154,-9,-27
155,-6,-26
156,-4,-24
157,-2,-23
158,0,-21
159,2,-20
160,4,-17
161,8,-13
162,13,-10
163,19,-2
164,28,0
165,37,7
166,44,10
167,51,18
168,54,15
169,53,20
170,49,13
171,44,13
172,36,2
173,29,1
174,20,-3
175,13,-4
176,8,-10
177,4,-11
178,1,-13
179,0,-14
180,-1,-17
181,-2,-15
182,-3,-15
183,-4,-15
184,-4,-14
185,-2,-14
186,0,-12
187,0,-11
188,1,-9
189,3,-9
190,5,-9
191,6,-11
192,5,-12
193,4,-14
194,2,-17
195,1,-18
196,-1,-18
197,-5,-17
198,-9,-19
199,-14,-17
200,-18,-20
201,-20,-19
202,-20,-21
203,-20,-19
204,-20,-18
205,-23,-10
206,-21,-4
207,0,12
208,47,32
209,90,43
210,95,20
211,58,-30
212,18,-98
213,-4,-87
214,-15,-51
215,-22,-31
216,-26,-21
217,-27,-20
218,-28,-13
219,-27,-16
220,-26,-12
221,-25,-15
222,-22,-9
223,-18,-11
224,-16,-6
225,-15,-9
226,-13,-6
227,-10,-4
228,-8,-1
229,-5,-1
230,-2,-1
231,0,0
232,3,2
233,8,7
234,15,13
235,24,20
236,32,26
237,39,30
238,43,33
239,44,33
240,41,31
241,38,26
242,33,23
243,26,16
244,18,11
245,11,3
246,6,2
247,2,0
248,0,0
249,-3,-4
250,-4,0
251,-5,-5
252,-6,0
253,-5,-5
254,-3,0
255,-1,-1
256,0,0
257,1,0
258,3,0
259,4,0
260,5,0
261,5,-1
262,3,-4
263,0,-8
264,-1,-9
265,-3,-6
266,-7,-9
267,-11,-7
268,-17,-9
269,-21,-8
270,-23,-11
271,-24,-10
272,-23,-12
273,-25,-6
274,-30,-3
275,-26,2
276,1,19
277,46,40
278,80,44
279,75,17
280,42,-41
281,8,-87
282,-10,-72
283,-19,-41
284,-25,-22
285,-28,-17
286,-30,-13
287,-29,-10
288,-28,-7
289,-27,-5
290,-25,-5
291,-23,-2
292,-21,-4
293,-16,-1
294,-14,-3
295,-13,0
296,-11,0
297,-9,0
298,-5,0
299,-1,5
300,1,2
301,4,11
302,9,12
303,17,24
304,26,26
305,35,35
306,41,36
307,44,41
308,43,38
309,40,37
310,37,30
311,32,27
312,25,21
313,17,16
314,10,11
315,5,5
316,1,2
317,0,0
318,-1,0
319,-2,0
320,-2,0
321,-1,0
322,0,2
323,3,3
324,7,3
325,9,4
326,10,3
327,8,5
328,4,1
329,0,0
330,-5,-1
331,-12,-1
332,-16,-6
333,-18,-5
334,-19,-10
335,-20,-6
336,-26,-4
337,-36,-3
338,-33,0
339,-4,14
340,41,34
341,72,33
342,65,7
343,31,-66
344,0,-89
345,-15,-60
346,-24,-28
347,-31,-18
348,-34,-8
349,-35,-8
350,-32,-3
