,0,1
0,-37,-23
1,-35,-23
2,-25,-13
3,-23,-17
4,-27,-23
5,-5,-15
6,1,-21
7,-13,-25
8,-21,-25
9,-27,-25
10,-33,-27
11,-41,-29
12,-41,-27
13,-43,-29
14,-41,-25
15,-43,-27
16,-41,-27
17,-39,-25
18,-43,-25
19,-43,-27
20,-39,-27
21,-39,-25
22,-37,-27
23,-39,-25
24,-35,-25
25,-23,-19
26,-57,9
27,-123,9
28,-85,-11
29,211,-173
30,447,-103
31,551,-87
32,411,-105
33,77,-45
34,-21,-7
35,-9,-3
36,-17,-9
37,-29,-9
38,-37,-9
39,-43,-9
40,-45,-9
41,-41,-9
42,-45,-9
43,-45,-11
44,-43,-13
45,-43,-11
46,-39,-11
47,-39,-13
48,-39,-13
49,-33,-9
50,-33,-11
51,-31,-13
52,-27,-13
53,-25,-11
54,-21,-9
55,-19,-11
56,-13,-11
57,-5,-9
58,1,-9
59,7,-11
60,19,-7
61,27,-7
62,37,-5
63,47,-9
64,57,-7
65,67,-3
66,75,-3
67,81,-3
68,87,3
69,87,5
70,75,7
71,55,3
72,35,1
73,15,-1
74,-7,-5
75,-23,-11
76,-33,-9
77,-39,-11
78,-43,-7
79,-45,-13
80,-47,-11
81,-43,-7
82,-47,-9
83,-47,-9
84,-45,-7
85,-45,-9
86,-43,-7
87,-45,-9
88,-45,-9
89,-39,-5
90,-43,-7
91,-45,-9
92,-43,-11
93,-43,-9
94,-43,-9
95,-45,-13
96,-43,-11
97,-43,-9
98,-45,-13
99,-47,-15
100,-49,-13
101,-49,-13
102,-49,-15
103,-51,-17
104,-51,-15
105,-47,-15
106,-51,-15
107,-53,-17
108,-51,-17
109,-51,-19
110,-49,-17
111,-53,-19
112,-51,-19
113,-47,-15
114,-51,-15
115,-51,-15
116,-49,-17
117,-39,-7
118,-29,-5
119,-33,-15
120,-27,-13
121,-5,-9
122,-21,-21
123,-33,-19
124,-39,-21
125,-41,-25
126,-47,-19
127,-51,-19
128,-51,-21
129,-47,-19
130,-51,-19
131,-51,-21
132,-53,-21
133,-51,-21
134,-49,-19
135,-51,-21
136,-49,-19
137,-47,-19
138,-43,-19
139,-41,-5
140,-89,29
141,-141,39
142,-27,-111
143,323,-269
144,503,-113
145,551,-115
146,209,-55
147,-19,-3
148,-19,9
149,-25,3
150,-37,1
151,-49,-1
152,-51,1
153,-49,5
154,-53,3
155,-55,1
156,-53,3
157,-53,3
158,-49,5
159,-51,1
160,-47,3
161,-43,7
162,-45,5
163,-45,3
164,-41,5
165,-37,5
166,-33,7
167,-33,5
168,-27,7
169,-17,11
170,-15,9
171,-11,9
172,-1,11
173,7,15
174,19,17
175,29,15
176,41,17
177,55,21
178,63,21
179,71,19
180,83,21
181,89,23
182,91,25
183,77,21
184,61,19
185,41,15
186,15,7
187,-11,1
188,-27,-3
189,-35,-1
190,-41,-3
191,-45,-7
192,-47,-7
193,-45,-5
194,-47,-7
195,-47,-9
196,-45,-7
197,-45,-5
198,-45,-5
199,-47,-7
200,-45,-7
201,-43,-1
202,-43,-3
203,-45,-5
204,-43,-3
205,-41,-5
206,-41,-3
207,-45,-5
208,-43,-5
209,-39,-3
210,-45,-7
211,-47,-9
212,-45,-9
213,-45,-9
214,-47,-9
215,-49,-13
216,-47,-13
217,-43,-9
218,-47,-13
219,-49,-15
220,-47,-13
221,-47,-15
222,-47,-13
223,-49,-15
224,-49,-15
225,-43,-13
226,-47,-13
227,-51,-17
228,-47,-15
229,-45,-15
230,-45,-13
231,-45,-13
232,-47,-17
233,-35,-5
234,-27,-3
235,-29,-13
236,-21,-9
237,-3,-9
238,-11,-17
239,-27,-17
240,-33,-17
241,-33,-19
242,-41,-17
243,-47,-17
244,-47,-21
245,-47,-21
246,-45,-17
247,-45,-21
248,-43,-19
249,-41,-17
250,-45,-19
251,-45,-21
252,-45,-19
253,-45,-19
254,-41,-17
255,-39,-19
256,-31,-9
257,-69,31
258,-135,33
259,-75,-53
260,257,-247
261,469,-137
262,563,-97
263,373,-105
264,51,-19
265,-17,11
266,-11,5
267,-27,1
268,-37,1
269,-43,-1
270,-45,1
271,-47,-1
272,-45,1
273,-41,3
274,-43,1
275,-47,-3
276,-45,-1
277,-41,1
278,-41,3
279,-41,-1
280,-37,-1
281,-31,3
282,-33,1
283,-31,-1
284,-25,1
285,-21,1
286,-17,1
287,-11,1
288,-5,3
289,5,7
290,11,7
291,21,5
292,35,7
293,45,9
294,55,9
295,63,11
296,75,11
