,0,1
0,-1,4
1,-2,4
2,-1,2
3,0,0
4,0,0
5,0,0
6,1,0
7,3,0
8,4,2
9,9,3
10,14,2
11,16,0
12,17,-5
13,19,-9
14,21,-12
15,19,-9
16,9,-2
17,3,0
18,0,0
19,-3,0
20,-5,0
21,-5,0
22,-5,0
23,-4,0
24,-4,0
25,-6,5
26,-8,17
27,5,-9
28,43,-112
29,75,-219
30,70,-237
31,39,-154
32,5,-61
33,-7,-13
34,-11,5
35,-10,17
36,-9,23
37,-8,23
38,-11,27
39,-11,28
40,-10,28
41,-12,28
42,-11,28
43,-10,28
44,-10,28
45,-10,28
46,-12,28
47,-12,28
48,-11,28
49,-12,23
50,-13,23
51,-14,23
52,-12,23
53,-13,23
54,-14,21
55,-15,19
56,-15,19
57,-17,16
58,-14,11
59,-10,9
60,-11,9
61,-13,10
62,-12,10
63,-10,9
64,-9,9
65,-7,7
66,-4,5
67,-3,4
68,-1,3
69,0,3
70,1,1
71,1,0
72,1,1
73,1,2
74,1,3
75,0,1
76,0,1
77,0,4
78,0,4
79,0,4
80,0,4
81,0,4
82,-2,4
83,-1,4
84,-1,4
85,0,4
86,0,4
87,-1,3
88,0,1
89,1,0
90,2,0
91,3,0
92,5,0
93,9,3
94,12,3
95,15,0
96,19,-4
97,21,-8
98,19,-9
99,18,-7
100,12,-3
101,4,0
102,-1,0
103,-3,0
104,-5,0
105,-6,0
106,-5,0
107,-4,0
108,-4,0
109,-7,1
110,-9,13
111,0,4
112,33,-80
113,70,-190
114,78,-233
115,49,-172
116,8,-75
117,-6,-20
118,-12,3
119,-14,15
120,-10,21
121,-10,23
122,-12,23
123,-12,27
124,-11,26
125,-10,24
126,-11,27
127,-11,26
128,-12,26
129,-12,24
130,-12,23
131,-11,23
132,-12,23
133,-12,23
134,-13,23
135,-14,23
136,-15,23
137,-16,21
138,-14,19
139,-15,19
140,-16,16
141,-14,14
142,-14,14
143,-13,10
144,-13,9
145,-12,9
146,-12,9
147,-11,9
148,-8,7
149,-6,5
150,-4,4
151,-2,4
152,-1,4
153,0,2
154,0,0
155,2,0
156,1,0
157,1,0
158,2,0
159,2,0
160,4,0
161,3,0
162,3,3
163,3,4
164,2,4
165,0,3
166,1,3
167,3,3
168,2,3
169,1,2
170,1,0
171,2,0
172,3,0
173,2,0
174,2,0
175,4,0
176,8,0
177,11,0
178,15,0
179,17,0
180,21,-4
181,22,-8
182,22,-11
183,19,-8
184,12,-4
185,6,-1
186,0,0
187,-2,0
188,-2,0
189,-2,0
190,-1,0
191,-1,0
192,0,0
193,-2,4
194,-5,12
195,10,-20
196,49,-119
197,84,-213
198,82,-224
199,48,-144
200,12,-58
201,0,-13
202,-1,3
203,-4,13
204,-5,20
205,-4,23
206,-3,23
207,-3,23
208,-4,23
209,-5,23
210,-6,23
211,-6,23
212,-4,23
213,-7,23
214,-7,23
215,-8,23
216,-5,23
217,-5,23
218,-7,23
219,-8,23
220,-7,19
221,-8,19
222,-9,15
223,-8,14
224,-8,14
225,-7,12
226,-7,9
227,-7,9
228,-5,9
229,-4,9
230,-4,7
231,-3,5
232,-1,4
233,1,4
234,2,2
235,2,1
236,3,0
237,5,0
238,6,0
239,6,0
240,6,0
241,7,0
242,6,0
243,6,0
244,6,0
245,5,0
246,3,0
247,3,3
248,4,1
249,4,1
250,4,2
251,2,1
252,2,2
253,3,0
254,3,0
255,2,0
256,3,0
257,2,0
258,4,0
259,12,0
260,15,0
261,18,0
262,21,0
263,23,-5
264,24,-8
265,27,-11
266,25,-10
267,17,-6
268,9,-1
269,2,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,-2,2
277,-6,13
278,2,-6
279,35,-92
280,72,-195
281,81,-228
282,53,-164
283,16,-71
284,0,-19
285,-4,1
286,-5,13
287,-5,22
288,-5,24
289,-5,27
290,-5,28
291,-6,28
292,-6,28
293,-5,28
294,-6,28
295,-7,28
296,-8,28
297,-7,28
298,-6,28
299,-5,28
300,-5,28
301,-8,28
302,-9,28
303,-9,27
304,-9,23
