,0,1
0,-1,2
1,0,2
2,-2,2
3,0,2
4,-2,2
5,0,2
6,0,2
7,0,3
8,0,3
9,0,3
10,0,3
11,0,4
12,0,5
13,0,4
14,0,2
15,0,0
16,-2,0
17,-3,0
18,-3,0
19,-3,0
20,-1,2
21,0,9
22,1,31
23,26,69
24,79,97
25,111,85
26,88,41
27,36,2
28,-5,-12
29,-16,-13
30,-17,-11
31,-12,-9
32,-11,-9
33,-10,-9
34,-12,-9
35,-9,-9
36,-11,-9
37,-9,-10
38,-12,-10
39,-10,-10
40,-11,-9
41,-10,-9
42,-10,-9
43,-10,-9
44,-10,-10
45,-11,-11
46,-11,-10
47,-11,-8
48,-10,-8
49,-10,-7
50,-8,-7
51,-10,-7
52,-8,-7
53,-9,-7
54,-7,-7
55,-8,-7
56,-7,-7
57,-7,-7
58,-7,-8
59,-7,-8
60,-7,-7
61,-7,-7
62,-6,-6
63,-6,-5
64,-6,-4
65,-4,-2
66,-4,-1
67,-3,0
68,-3,0
69,-3,0
70,-2,0
71,-1,1
72,-1,2
73,-1,2
74,-1,2
75,-1,2
76,0,2
77,-1,3
78,0,4
79,-2,4
80,0,4
81,0,5
82,0,5
83,-1,5
84,0,5
85,0,5
86,0,5
87,0,5
88,0,5
89,0,5
90,0,5
91,0,4
92,0,4
93,0,4
94,0,4
95,0,3
96,0,3
97,0,4
98,0,4
99,0,3
100,0,3
101,0,4
102,0,4
103,0,4
104,0,3
105,0,3
106,0,3
107,0,3
108,0,3
109,-1,3
110,0,4
111,0,4
112,0,5
113,0,5
114,0,5
115,0,5
116,1,5
117,0,5
118,0,4
119,0,2
120,0,0
121,-3,0
122,-3,0
123,-3,1
124,-2,1
125,0,6
126,1,20
127,9,50
128,51,83
129,97,80
130,91,39
131,52,-1
132,4,-22
133,-15,-20
134,-18,-13
135,-13,-8
136,-13,-7
137,-9,-6
138,-12,-6
139,-10,-6
140,-11,-6
141,-10,-5
142,-11,-5
143,-10,-6
144,-11,-6
145,-10,-6
146,-10,-5
147,-10,-5
148,-10,-5
149,-10,-5
150,-10,-4
151,-10,-4
152,-9,-4
153,-8,-3
154,-7,-2
155,-6,-2
156,-6,-2
157,-5,-2
158,-6,-2
159,-5,-2
160,-6,-2
161,-3,-2
162,-6,-2
163,-3,-2
164,-5,-2
165,-2,-1
166,-4,-1
167,-1,-1
168,-3,0
169,-1,0
170,-1,1
171,0,1
172,0,1
173,0,2
174,0,3
175,0,4
176,0,4
177,0,4
178,0,4
179,0,3
180,0,3
181,-1,2
182,0,2
183,-1,3
184,0,3
185,-1,3
186,-1,3
187,-1,3
188,0,4
189,0,4
190,0,4
191,0,5
192,0,4
193,0,4
194,0,4
195,0,4
196,0,4
197,0,3
198,0,3
199,0,4
200,0,4
201,0,3
202,0,3
203,0,4
204,0,4
205,0,4
206,0,4
207,0,3
208,0,3
209,0,3
210,0,4
211,0,3
212,0,3
213,0,3
214,0,3
215,0,4
216,2,5
217,0,5
218,1,5
219,0,5
220,2,6
221,1,5
222,1,2
223,0,0
224,-2,0
225,-2,0
226,-2,0
227,-2,1
228,0,4
229,1,14
230,7,39
231,38,72
232,82,82
233,96,56
234,67,14
235,22,-13
236,-9,-20
237,-17,-14
238,-15,-9
239,-13,-6
240,-11,-5
241,-11,-5
242,-9,-5
243,-11,-5
244,-9,-5
245,-10,-5
246,-9,-5
247,-10,-5
248,-10,-6
249,-10,-5
250,-10,-5
251,-9,-5
252,-8,-4
253,-8,-4
254,-8,-3
255,-7,-2
256,-7,-2
257,-5,-2
258,-5,-2
259,-3,-2
260,-5,-1
261,-2,-1
262,-4,-1
263,-2,-1
264,-4,-2
265,-1,-2
266,-4,-2
267,-1,-2
268,-2,-2
269,-1,-1
270,-2,-1
271,-1,0
272,-1,0
273,0,0
274,0,0
275,0,1
276,0,2
277,0,3
278,0,4
279,0,5
280,0,4
281,0,4
282,0,4
283,0,3
284,0,3
285,0,4
286,0,4
287,0,4
288,0,4
289,0,4
290,0,5
291,0,5
292,0,5
293,0,5
294,0,6
295,1,6
296,1,7
297,2,7
298,1,7
299,2,7
300,1,6
301,1,6
302,1,6
303,1,6
304,1,6
305,1,6
306,1,6
307,1,6
308,1,6
309,0,6
310,0,5
311,0,5
312,1,5
313,0,5
314,1,5
315,0,5
316,1,4
317,0,4
318,1,5
319,0,5
320,1,5
321,1,5
322,2,6
323,3,6
324,2,6
325,4,6
326,3,7
327,2,6
328,0,4
329,0,2
330,0,2
331,0,2
332,0,2
333,0,3
334,0,6
335,2,15
336,9,39
337,36,76
338,92,91
339,102,62
340,73,14
341,11,-15
342,-15,-18
343,-20,-14
344,-14,-11
345,-14,-10
346,-10,-9
347,-12,-9
348,-10,-9
349,-12,-9
350,-10,-9
351,-12,-9
352,-10,-8
353,-10,-8
354,-11,-7
355,-10,-7
356,-10,-7
357,-10,-7
358,-10,-6
359,-8,-5
360,-8,-5
361,-7,-4
362,-7,-3
363,-7,-3
364,-6,-2
365,-6,-2
366,-5,-3
367,-5,-2
368,-3,-2
369,-4,-3
370,-2,-3
371,-4,-3
372,-2,-4
373,-3,-4
374,-1,-4
375,-3,-3
376,-1,-2
377,-2,-1
378,-1,0
379,-1,0
380,0,0
381,0,1
382,0,1
383,0,2
384,-1,2
385,0,2
386,-1,2
387,0,2
388,-2,2
389,0,2
390,-2,2
391,0,2
