,0,1
0,-104,-19
1,-100,-13
2,-83,-4
3,-79,-5
4,-78,0
5,-74,-2
6,-60,2
7,-48,7
8,-45,7
9,-44,11
10,-31,13
11,-20,22
12,-12,27
13,1,28
14,-25,28
15,2,33
16,6,38
17,50,32
18,37,36
19,29,34
20,59,36
21,39,30
22,24,28
23,48,41
24,27,30
25,35,38
26,71,41
27,94,38
28,94,40
29,98,46
30,74,41
31,58,33
32,64,21
33,37,11
34,0,5
35,-8,3
36,-6,5
37,-22,2
38,-33,-17
39,-40,-17
40,-55,-3
41,-73,-5
42,-55,-51
43,121,-96
44,79,-143
45,-114,-193
46,-231,-154
47,-202,-88
48,-136,-41
49,-104,-26
50,-54,-10
51,-51,-11
52,-52,-4
53,-52,0
54,-58,-2
55,-48,2
56,-44,2
57,-16,15
58,-22,14
59,-9,14
60,-10,16
61,-1,19
62,18,23
63,29,32
64,31,35
65,39,41
66,52,40
67,50,36
68,47,33
69,40,36
70,27,29
71,16,21
72,20,22
73,36,26
74,48,29
75,51,23
76,56,27
77,70,24
78,79,20
79,77,21
80,59,19
81,59,17
82,55,11
83,28,7
84,-5,2
85,-20,-9
86,-21,-10
87,-32,-9
88,-39,-16
89,-37,-14
90,-47,-5
91,-62,-20
92,2,-53
93,128,-111
94,56,-160
95,-110,-182
96,-156,-132
97,-125,-72
98,-91,-40
99,-66,-20
100,-54,-10
101,-41,-10
102,-47,-4
103,-25,-3
104,-29,1
105,-24,2
106,-13,8
107,-6,11
108,12,22
109,32,27
110,20,29
111,1,36
112,9,47
113,29,54
114,33,52
115,68,60
116,79,72
117,59,103
118,59,78
119,58,77
120,43,74
121,47,33
122,54,33
123,56,38
124,66,44
125,68,69
126,68,69
127,47,99
128,32,129
129,59,46
130,87,21
131,90,17
132,74,35
133,44,28
134,27,28
135,9,16
136,-16,7
137,-27,16
138,-28,0
139,-36,9
140,-51,22
141,-24,-16
142,102,-92
143,25,-164
144,-113,-188
145,-168,-147
146,-140,-90
147,-86,-33
148,-51,-20
149,-44,-13
150,-35,-3
151,-24,3
152,-20,9
153,-22,15
154,-14,14
155,13,15
156,9,16
157,10,21
158,20,19
159,45,21
160,56,30
161,31,33
162,32,34
163,47,38
164,62,41
165,51,36
166,25,29
167,12,32
168,29,40
169,21,40
170,12,34
171,16,35
172,6,42
173,21,49
174,51,55
175,50,57
176,39,54
177,50,54
178,59,53
179,51,42
180,44,42
181,36,35
182,10,24
183,-14,15
184,-14,16
185,-33,13
186,-37,8
187,-51,-1
188,-43,8
189,-59,20
190,-79,2
191,55,-34
192,101,-94
193,-86,-126
194,-196,-163
195,-166,-105
196,-118,-57
197,-82,-22
198,-58,-10
199,-67,24
200,-87,51
201,-77,17
202,-97,-5
203,-62,-17
204,-12,-10
205,-16,-5
206,-16,9
207,-17,27
208,-21,29
209,-43,0
210,-37,9
211,-18,23
212,-2,28
213,12,39
214,43,42
215,45,39
216,21,33
217,25,28
218,35,26
219,48,29
220,39,28
221,45,33
222,66,36
223,58,36
224,33,29
225,58,51
226,48,41
227,77,15
228,82,8
229,71,7
230,56,13
231,45,5
232,6,7
233,9,-3
234,-8,-5
235,-18,-7
236,-29,-17
237,-45,-24
238,-35,-4
239,-36,-1
240,33,-33
241,155,-79
242,81,-135
243,-106,-178
244,-167,-157
245,-156,-99
246,-113,-64
247,-87,-44
248,-74,-30
249,-63,-27
250,-40,-28
251,-36,-17
252,-43,-20
253,-41,-9
254,-51,-16
255,-27,2
256,-29,1
257,-32,2
258,-45,9
259,5,20
260,-10,15
261,-9,28
262,2,30
263,18,32
264,18,35
265,31,39
266,37,34
267,24,33
268,25,29
269,27,27
270,20,20
271,12,24
272,18,27
273,32,29
274,41,28
275,55,23
276,59,21
277,63,22
278,63,20
279,63,17
280,35,11
281,45,10
282,18,3
283,18,5
284,24,4
285,-5,11
286,6,-1
287,-22,-7
288,-36,0
289,-106,-7
290,-24,-47
291,148,-84
