,0
0,123.0
1,128.0
2,86.0
3,39.0
4,11.0
5,1.0
6,-3.0
7,-4.0
8,-5.0
9,-5.0
10,-6.0
11,-6.0
12,-6.0
13,-6.0
14,-5.0
15,-5.0
16,-4.0
17,-3.0
18,-3.0
19,-3.0
20,-3.0
21,-2.0
22,-1.0
23,0.0
24,0.0
25,0.0
26,0.0
27,1.0
28,2.0
29,2.0
30,3.0
31,4.0
32,6.0
33,8.0
34,10.0
35,12.0
36,15.0
37,17.0
38,18.0
39,18.0
40,17.0
41,16.0
42,14.0
43,11.0
44,7.0
45,4.0
46,2.0
47,0.0
48,-1.0
49,-4.0
50,-6.0
51,-7.0
52,-8.0
53,-8.0
54,-8.0
55,-8.0
56,-8.0
57,-8.0
58,-8.0
59,-8.0
60,-8.0
61,-8.0
62,-8.0
63,-8.0
64,-7.0
65,-7.0
66,-6.0
67,-5.0
68,-5.0
69,-6.0
70,-6.0
71,-5.0
72,-5.0
73,-4.0
74,-4.0
75,-4.0
76,-3.0
77,-2.0
78,-1.0
79,-1.0
80,0.0
81,0.0
82,0.0
83,-2.0
84,-3.0
85,-2.0
86,-2.0
87,-2.0
88,-2.0
89,-3.0
90,-3.0
91,-2.0
92,-2.0
93,-3.0
94,0.0
95,17.0
96,64.0
97,114.0
98,125.0
99,92.0
100,46.0
101,15.0
102,2.0
103,-2.0
104,-4.0
105,-5.0
106,-6.0
107,-7.0
108,-6.0
109,-5.0
110,-5.0
111,-6.0
112,-5.0
113,-4.0
114,-4.0
115,-3.0
116,-3.0
117,-3.0
118,-2.0
119,-1.0
120,0.0
121,0.0
122,0.0
123,0.0
124,1.0
125,2.0
126,2.0
127,3.0
128,4.0
129,5.0
130,7.0
131,9.0
132,11.0
133,14.0
134,16.0
135,17.0
136,18.0
137,18.0
138,16.0
139,14.0
140,11.0
141,7.0
142,3.0
143,1.0
144,-1.0
145,-3.0
146,-4.0
147,-6.0
148,-7.0
149,-8.0
150,-8.0
151,-8.0
152,-8.0
153,-8.0
154,-8.0
155,-8.0
156,-8.0
157,-8.0
158,-8.0
159,-8.0
160,-8.0
161,-7.0
162,-6.0
163,-5.0
164,-5.0
165,-5.0
166,-6.0
167,-6.0
168,-6.0
169,-5.0
170,-4.0
171,-4.0
172,-4.0
173,-4.0
174,-3.0
175,-2.0
176,-1.0
177,-1.0
178,0.0
179,0.0
180,-1.0
181,-2.0
182,-3.0
183,-2.0
184,-2.0
185,-2.0
186,-3.0
187,-3.0
188,-3.0
189,-3.0
190,-3.0
191,1.0
192,25.0
193,73.0
194,117.0
195,120.0
196,83.0
197,39.0
198,11.0
199,0.0
200,-3.0
201,-5.0
202,-6.0
203,-7.0
204,-7.0
205,-7.0
206,-6.0
207,-5.0
208,-5.0
209,-5.0
210,-4.0
211,-4.0
212,-3.0
213,-3.0
214,-3.0
215,-2.0
216,-1.0
217,-1.0
218,0.0
219,0.0
220,0.0
221,1.0
222,2.0
223,2.0
224,3.0
225,5.0
226,8.0
227,10.0
228,12.0
229,14.0
230,17.0
231,19.0
232,20.0
233,20.0
234,19.0
235,17.0
236,14.0
237,11.0
238,7.0
239,3.0
240,1.0
241,-1.0
242,-3.0
243,-5.0
244,-7.0
245,-8.0
246,-9.0
247,-10.0
248,-10.0
249,-10.0
250,-10.0
251,-10.0
252,-10.0
253,-10.0
254,-10.0
255,-9.0
256,-9.0
257,-8.0
258,-8.0
259,-8.0
260,-8.0
261,-8.0
262,-8.0
263,-7.0
264,-7.0
265,-6.0
266,-5.0
267,-5.0
268,-6.0
269,-5.0
270,-5.0
271,-4.0
272,-3.0
273,-2.0
274,-1.0
275,-1.0
276,-1.0
277,-2.0
278,-3.0
279,-3.0
280,-3.0
281,-3.0
282,-3.0
283,-3.0
284,-3.0
285,-3.0
286,-4.0
287,-4.0
288,3.0
289,31.0
290,83.0
291,128.0
292,123.0
293,76.0
294,31.0
295,6.0
296,-2.0
297,-5.0
298,-7.0
299,-7.0
300,-8.0
301,-8.0
302,-8.0
303,-7.0
304,-7.0
305,-6.0
306,-5.0
307,-5.0
308,-5.0
309,-4.0
310,-3.0
311,-3.0
312,-1.0
313,-1.0
314,0.0
315,0.0
316,0.0
317,1.0
318,2.0
319,2.0
320,3.0
321,4.0
322,6.0
323,9.0
324,11.0
325,13.0
326,16.0
327,18.0
328,20.0
329,21.0
330,21.0
331,20.0
332,17.0
333,15.0
334,11.0
335,7.0
336,3.0
337,0.0
338,-1.0
339,-4.0
340,-6.0
341,-7.0
342,-8.0
343,-9.0
344,-9.0
345,-10.0
346,-10.0
347,-10.0
348,-10.0
349,-10.0
350,-10.0
351,-10.0
352,-9.0
353,-8.0
354,-8.0
355,-8.0
356,-8.0
357,-8.0
358,-7.0
359,-7.0
360,-7.0
361,-6.0
362,-6.0
363,-5.0
364,-5.0
365,-6.0
366,-6.0
367,-6.0
368,-5.0
369,-4.0
370,-3.0
371,-2.0
372,-1.0
373,-1.0
374,0.0
375,0.0
376,-1.0
377,-3.0
378,-3.0
379,-3.0
380,-3.0
381,-3.0
382,-3.0
383,-3.0
384,-3.0
385,-3.0
386,-4.0
387,-2.0
388,14.0
389,60.0
390,115.0
391,132.0
392,98.0
393,49.0
394,16.0
395,1.0
396,-3.0
397,-5.0
398,-6.0
399,-7.0
400,-8.0
401,-7.0
402,-7.0
403,-6.0
404,-5.0
405,-5.0
406,-5.0
407,-4.0
408,-4.0
409,-3.0
410,-3.0
411,-2.0
412,-1.0
413,0.0
414,0.0
415,0.0
416,1.0
417,2.0
418,2.0
419,3.0
420,4.0
421,5.0
422,7.0
423,9.0
424,12.0
425,14.0
426,16.0
427,17.0
428,18.0
429,19.0
430,20.0
431,19.0
432,16.0
433,13.0
434,9.0
435,5.0
436,2.0
437,0.0
438,-1.0
439,-4.0
440,-5.0
441,-6.0
442,-7.0
443,-8.0
444,-9.0
445,-9.0
446,-9.0
447,-9.0
448,-8.0
449,-8.0
450,-8.0
451,-8.0
452,-8.0
453,-8.0
454,-8.0
455,-7.0
456,-7.0
457,-6.0
458,-5.0
459,-5.0
460,-5.0
461,-6.0
462,-6.0
463,-6.0
464,-5.0
465,-5.0
466,-5.0
467,-4.0
468,-3.0
469,-2.0
470,-2.0
471,-1.0
472,-1.0
473,0.0
474,0.0
475,-1.0
476,-2.0
477,-3.0
478,-2.0
479,-2.0
480,-3.0
481,-3.0
482,-3.0
483,-3.0
484,-3.0
485,-3.0
486,0.0
487,20.0
488,66.0
489,113.0
490,122.0
491,88.0
492,44.0
493,14.0
494,0.0
495,-4.0
496,-6.0
497,-7.0
498,-8.0
499,-8.0
500,-7.0
501,-6.0
502,-5.0
503,-5.0
